,name,genre,type,episodes,rating,members
45,Kara no Kyoukai 5: Mujun Rasen,Action,Movie,1,8.68,111074
45,Kara no Kyoukai 5: Mujun Rasen,Drama,Movie,1,8.68,111074
45,Kara no Kyoukai 5: Mujun Rasen,Mystery,Movie,1,8.68,111074
45,Kara no Kyoukai 5: Mujun Rasen,Romance,Movie,1,8.68,111074
45,Kara no Kyoukai 5: Mujun Rasen,Supernatural,Movie,1,8.68,111074
45,Kara no Kyoukai 5: Mujun Rasen,Thriller,Movie,1,8.68,111074
46,Natsume Yuujinchou San,Drama,TV,13,8.67,102322
46,Natsume Yuujinchou San,Fantasy,TV,13,8.67,102322
46,Natsume Yuujinchou San,Shoujo,TV,13,8.67,102322
46,Natsume Yuujinchou San,Slice of Life,TV,13,8.67,102322
46,Natsume Yuujinchou San,Supernatural,TV,13,8.67,102322
47,Ping Pong The Animation,Psychological,TV,11,8.67,97187
47,Ping Pong The Animation,Seinen,TV,11,8.67,97187
47,Ping Pong The Animation,Sports,TV,11,8.67,97187
48,Mushishi Special: Hihamukage,Adventure,Special,1,8.66,49036
48,Mushishi Special: Hihamukage,Fantasy,Special,1,8.66,49036
48,Mushishi Special: Hihamukage,Historical,Special,1,8.66,49036
48,Mushishi Special: Hihamukage,Mystery,Special,1,8.66,49036
48,Mushishi Special: Hihamukage,Seinen,Special,1,8.66,49036
48,Mushishi Special: Hihamukage,Slice of Life,Special,1,8.66,49036
48,Mushishi Special: Hihamukage,Supernatural,Special,1,8.66,49036
49,Boku dake ga Inai Machi,Mystery,TV,12,8.65,402381
49,Boku dake ga Inai Machi,Psychological,TV,12,8.65,402381
49,Boku dake ga Inai Machi,Seinen,TV,12,8.65,402381
49,Boku dake ga Inai Machi,Supernatural,TV,12,8.65,402381
50,Yojouhan Shinwa Taikei,Mystery,TV,11,8.65,122531
50,Yojouhan Shinwa Taikei,Psychological,TV,11,8.65,122531
50,Yojouhan Shinwa Taikei,Romance,TV,11,8.65,122531
51,Aria The Origination,Fantasy,TV,13,8.64,56162
51,Aria The Origination,Sci-Fi,TV,13,8.64,56162
51,Aria The Origination,Shounen,TV,13,8.64,56162
51,Aria The Origination,Slice of Life,TV,13,8.64,56162
52,Kamisama Hajimemashita: Kako-hen,Comedy,OVA,4,8.64,33422
52,Kamisama Hajimemashita: Kako-hen,Demons,OVA,4,8.64,33422
52,Kamisama Hajimemashita: Kako-hen,Fantasy,OVA,4,8.64,33422
52,Kamisama Hajimemashita: Kako-hen,Shoujo,OVA,4,8.64,33422
52,Kamisama Hajimemashita: Kako-hen,Supernatural,OVA,4,8.64,33422
53,Rainbow: Nisha Rokubou no Shichinin,Drama,TV,26,8.64,139474
53,Rainbow: Nisha Rokubou no Shichinin,Historical,TV,26,8.64,139474
53,Rainbow: Nisha Rokubou no Shichinin,Seinen,TV,26,8.64,139474
53,Rainbow: Nisha Rokubou no Shichinin,Thriller,TV,26,8.64,139474
54,Re:Zero kara Hajimeru Isekai Seikatsu,Drama,TV,25,8.64,355839
54,Re:Zero kara Hajimeru Isekai Seikatsu,Fantasy,TV,25,8.64,355839
54,Re:Zero kara Hajimeru Isekai Seikatsu,Psychological,TV,25,8.64,355839
54,Re:Zero kara Hajimeru Isekai Seikatsu,Thriller,TV,25,8.64,355839
55,Tengen Toppa Gurren Lagann Movie: Lagann-hen,Action,Movie,1,8.64,82253
55,Tengen Toppa Gurren Lagann Movie: Lagann-hen,Mecha,Movie,1,8.64,82253
55,Tengen Toppa Gurren Lagann Movie: Lagann-hen,Sci-Fi,Movie,1,8.64,82253
55,Tengen Toppa Gurren Lagann Movie: Lagann-hen,Space,Movie,1,8.64,82253
55,Tengen Toppa Gurren Lagann Movie: Lagann-hen,Super Power,Movie,1,8.64,82253
56,Zoku Natsume Yuujinchou,Drama,TV,13,8.64,114173
56,Zoku Natsume Yuujinchou,Fantasy,TV,13,8.64,114173
56,Zoku Natsume Yuujinchou,Shoujo,TV,13,8.64,114173
56,Zoku Natsume Yuujinchou,Slice of Life,TV,13,8.64,114173
56,Zoku Natsume Yuujinchou,Supernatural,TV,13,8.64,114173
57,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Drama,TV,11,8.62,463835
57,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Slice of Life,TV,11,8.62,463835
57,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Supernatural,TV,11,8.62,463835
58,Kuroko no Basket 3rd Season,Comedy,TV,25,8.62,184525
58,Kuroko no Basket 3rd Season,School,TV,25,8.62,184525
58,Kuroko no Basket 3rd Season,Shounen,TV,25,8.62,184525
58,Kuroko no Basket 3rd Season,Sports,TV,25,8.62,184525
59,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Sci-Fi,Movie,1,8.61,192424
59,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Thriller,Movie,1,8.61,192424
60,Hotarubi no Mori e,Drama,Movie,1,8.61,197439
60,Hotarubi no Mori e,Romance,Movie,1,8.61,197439
60,Hotarubi no Mori e,Shoujo,Movie,1,8.61,197439
60,Hotarubi no Mori e,Supernatural,Movie,1,8.61,197439
61,Shokugeki no Souma,Ecchi,TV,24,8.61,348951
61,Shokugeki no Souma,School,TV,24,8.61,348951
61,Shokugeki no Souma,Shounen,TV,24,8.61,348951
62,Yuri!!! on Ice,Comedy,TV,12,8.61,103178
62,Yuri!!! on Ice,Sports,TV,12,8.61,103178
63,Gintama: Yorinuki Gintama-san on Theater 2D,Action,Movie,2,8.6,11104
63,Gintama: Yorinuki Gintama-san on Theater 2D,Comedy,Movie,2,8.6,11104
63,Gintama: Yorinuki Gintama-san on Theater 2D,Historical,Movie,2,8.6,11104
63,Gintama: Yorinuki Gintama-san on Theater 2D,Parody,Movie,2,8.6,11104
63,Gintama: Yorinuki Gintama-san on Theater 2D,Samurai,Movie,2,8.6,11104
63,Gintama: Yorinuki Gintama-san on Theater 2D,Sci-Fi,Movie,2,8.6,11104
63,Gintama: Yorinuki Gintama-san on Theater 2D,Shounen,Movie,2,8.6,11104
64,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,Action,TV,24,8.6,93657
64,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,Adventure,TV,24,8.6,93657
64,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,Drama,TV,24,8.6,93657
64,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,Shounen,TV,24,8.6,93657
64,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,Supernatural,TV,24,8.6,93657
65,Gintama Movie: Shinyaku Benizakura-hen,Action,Movie,1,8.59,51185
65,Gintama Movie: Shinyaku Benizakura-hen,Comedy,Movie,1,8.59,51185
65,Gintama Movie: Shinyaku Benizakura-hen,Historical,Movie,1,8.59,51185
65,Gintama Movie: Shinyaku Benizakura-hen,Parody,Movie,1,8.59,51185
65,Gintama Movie: Shinyaku Benizakura-hen,Samurai,Movie,1,8.59,51185
65,Gintama Movie: Shinyaku Benizakura-hen,Sci-Fi,Movie,1,8.59,51185
65,Gintama Movie: Shinyaku Benizakura-hen,Shounen,Movie,1,8.59,51185
66,Hellsing Ultimate,Action,OVA,10,8.59,297454
66,Hellsing Ultimate,Horror,OVA,10,8.59,297454
66,Hellsing Ultimate,Military,OVA,10,8.59,297454
66,Hellsing Ultimate,Seinen,OVA,10,8.59,297454
66,Hellsing Ultimate,Supernatural,OVA,10,8.59,297454
66,Hellsing Ultimate,Vampire,OVA,10,8.59,297454
67,Kiseijuu: Sei no Kakuritsu,Action,TV,24,8.59,425457
67,Kiseijuu: Sei no Kakuritsu,Drama,TV,24,8.59,425457
67,Kiseijuu: Sei no Kakuritsu,Horror,TV,24,8.59,425457
67,Kiseijuu: Sei no Kakuritsu,Psychological,TV,24,8.59,425457
67,Kiseijuu: Sei no Kakuritsu,Sci-Fi,TV,24,8.59,425457
67,Kiseijuu: Sei no Kakuritsu,Seinen,TV,24,8.59,425457
68,Shouwa Genroku Rakugo Shinjuu,Drama,TV,13,8.59,71295
68,Shouwa Genroku Rakugo Shinjuu,Historical,TV,13,8.59,71295
68,Shouwa Genroku Rakugo Shinjuu,Josei,TV,13,8.59,71295
69,Uchuu Kyoudai,Comedy,TV,99,8.59,72958
69,Uchuu Kyoudai,Sci-Fi,TV,99,8.59,72958
69,Uchuu Kyoudai,Seinen,TV,99,8.59,72958
69,Uchuu Kyoudai,Slice of Life,TV,99,8.59,72958
69,Uchuu Kyoudai,Space,TV,99,8.59,72958
70,Bakemono no Ko,Adventure,Movie,1,8.58,80825
70,Bakemono no Ko,Supernatural,Movie,1,8.58,80825
71,Hotaru no Haka,Drama,Movie,1,8.58,174878
71,Hotaru no Haka,Historical,Movie,1,8.58,174878
72,Kuroko no Basket 2nd Season,Comedy,TV,25,8.58,243325
72,Kuroko no Basket 2nd Season,School,TV,25,8.58,243325
72,Kuroko no Basket 2nd Season,Shounen,TV,25,8.58,243325
72,Kuroko no Basket 2nd Season,Sports,TV,25,8.58,243325
73,Major S5,Comedy,TV,25,8.58,28653
73,Major S5,Drama,TV,25,8.58,28653
73,Major S5,Romance,TV,25,8.58,28653
73,Major S5,Sports,TV,25,8.58,28653
75,Ghost in the Shell: Stand Alone Complex 2nd GIG,Action,TV,26,8.57,113993
75,Ghost in the Shell: Stand Alone Complex 2nd GIG,Mecha,TV,26,8.57,113993
75,Ghost in the Shell: Stand Alone Complex 2nd GIG,Military,TV,26,8.57,113993
75,Ghost in the Shell: Stand Alone Complex 2nd GIG,Mystery,TV,26,8.57,113993
75,Ghost in the Shell: Stand Alone Complex 2nd GIG,Police,TV,26,8.57,113993
75,Ghost in the Shell: Stand Alone Complex 2nd GIG,Sci-Fi,TV,26,8.57,113993
75,Ghost in the Shell: Stand Alone Complex 2nd GIG,Seinen,TV,26,8.57,113993
76,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,Action,TV,39,8.57,74074
76,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,Adventure,TV,39,8.57,74074
76,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,Comedy,TV,39,8.57,74074
76,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,Drama,TV,39,8.57,74074
76,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,Shounen,TV,39,8.57,74074
76,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,Supernatural,TV,39,8.57,74074
77,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Action,Movie,1,8.57,95658
77,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Mystery,Movie,1,8.57,95658
77,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Romance,Movie,1,8.57,95658
77,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Supernatural,Movie,1,8.57,95658
77,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Thriller,Movie,1,8.57,95658
78,Kingdom 2nd Season,Action,TV,39,8.57,31234
78,Kingdom 2nd Season,Historical,TV,39,8.57,31234
78,Kingdom 2nd Season,Military,TV,39,8.57,31234
78,Kingdom 2nd Season,Seinen,TV,39,8.57,31234
79,Slam Dunk,Comedy,TV,101,8.56,82570
79,Slam Dunk,Drama,TV,101,8.56,82570
79,Slam Dunk,School,TV,101,8.56,82570
79,Slam Dunk,Shounen,TV,101,8.56,82570
79,Slam Dunk,Sports,TV,101,8.56,82570
80,Usagi Drop,Josei,TV,11,8.56,194855
80,Usagi Drop,Slice of Life,TV,11,8.56,194855
81,Girls und Panzer der Film,Military,Movie,1,8.55,25641
81,Girls und Panzer der Film,School,Movie,1,8.55,25641
82,Mob Psycho 100,Action,TV,12,8.55,193716
82,Mob Psycho 100,Comedy,TV,12,8.55,193716
82,Mob Psycho 100,Slice of Life,TV,12,8.55,193716
82,Mob Psycho 100,Supernatural,TV,12,8.55,193716
83,Nana,Comedy,TV,47,8.55,197256
83,Nana,Drama,TV,47,8.55,197256
83,Nana,Music,TV,47,8.55,197256
83,Nana,Romance,TV,47,8.55,197256
83,Nana,Shoujo,TV,47,8.55,197256
83,Nana,Slice of Life,TV,47,8.55,197256
84,Baccano!,Action,TV,13,8.54,363215
84,Baccano!,Comedy,TV,13,8.54,363215
84,Baccano!,Historical,TV,13,8.54,363215
